tpep_pickup_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,tip_amount,total_amount,congestion_surcharge
2021-01-02 07:40:04,1.0,1.29,75,151,0.0,6.8,0.0
2021-01-02 07:05:23,1.0,1.0,140,237,0.0,9.3,2.5
2021-01-02 07:55:41,1.0,3.1,229,68,0.0,15.3,2.5
2021-01-02 07:22:11,1.0,1.59,186,48,1.96,11.76,2.5
2021-01-02 07:07:36,1.0,10.5,229,253,8.55,42.85,2.5
2021-01-02 07:48:18,1.0,1.3,48,90,1.75,10.55,2.5
2021-01-02 07:10:09,6.0,1.36,163,237,1.96,11.76,2.5
2021-01-02 07:16:53,6.0,0.91,237,236,1.56,9.36,2.5
2021-01-02 07:11:39,1.0,5.88,74,114,4.26,25.56,2.5
2021-01-02 07:35:59,1.0,2.29,233,237,1.2,13.0,2.5
2021-01-02 07:30:52,1.0,4.3,74,142,0.0,17.8,2.5
2021-01-02 07:00:26,1.0,3.33,107,262,0.0,13.8,2.5
2021-01-02 07:42:24,1.0,1.5,238,75,0.0,9.3,0.0
2021-01-02 07:30:38,1.0,11.81,132,138,0.0,32.8,0.0
2021-01-02 07:33:01,1.0,1.7,244,152,0.0,9.3,0.0
2021-01-02 07:15:18,1.0,1.25,238,75,1.0,7.8,0.0
2021-01-02 07:35:42,1.0,1.49,239,142,1.96,11.76,2.5
2021-01-02 07:00:24,1.0,1.4,161,237,0.0,9.8,2.5
2021-01-02 07:05:09,1.0,0.26,237,236,1.26,7.56,2.5
2021-01-02 07:24:13,1.0,1.0,42,41,0.0,6.8,0.0
2021-01-02 07:37:01,1.0,2.81,260,70,0.0,12.3,0.0
2021-01-02 07:02:40,2.0,2.77,65,79,0.0,13.3,2.5
2021-01-02 07:13:07,1.0,2.05,50,68,2.36,14.16,2.5
2021-01-02 07:51:57,2.0,0.84,90,90,1.56,9.36,2.5
2021-01-02 07:07:22,1.0,3.13,238,244,0.0,12.8,0.0
2021-01-02 07:50:28,1.0,3.88,238,244,0.0,13.8,0.0
2021-01-02 07:37:51,1.0,0.5,263,236,0.0,7.8,2.5
2021-01-02 07:16:30,1.0,16.91,132,74,0.0,-58.92,0.0
2021-01-02 07:16:30,1.0,16.91,132,74,0.0,58.92,0.0
2021-01-02 07:46:03,1.0,0.59,75,75,0.0,4.8,0.0
2021-01-02 07:48:27,1.0,1.41,137,186,2.26,13.56,2.5
2021-01-02 07:15:09,1.0,8.6,132,132,0.0,29.8,0.0
2021-01-02 07:55:02,1.0,0.63,148,79,1.5,8.8,2.5
2021-01-02 07:45:37,1.0,18.75,132,230,11.06,66.36,2.5
2021-01-02 07:54:43,1.0,1.4,239,236,2.15,12.95,2.5
2021-01-02 07:48:33,1.0,0.8,237,229,0.0,8.8,2.5
2021-01-02 07:57:46,1.0,0.94,237,141,0.0,7.8,2.5
2021-01-02 07:07:48,2.0,10.6,249,69,0.0,36.3,2.5
2021-01-02 07:56:45,2.0,6.41,116,186,4.86,29.16,2.5
2021-01-02 07:57:24,1.0,19.0,132,239,5.0,66.42,2.5
2021-01-02 07:27:51,1.0,5.81,88,142,0.0,21.8,2.5
2021-01-02 07:58:51,1.0,1.36,238,236,0.0,11.3,2.5
2021-01-02 07:19:28,1.0,0.76,263,141,1.46,8.76,2.5
2021-01-02 07:47:09,1.0,1.27,141,170,0.0,8.8,2.5
2021-01-02 07:31:54,1.0,9.6,138,142,7.75,46.67,2.5
2021-01-02 07:22:36,1.0,0.94,164,170,0.0,8.3,2.5
2021-01-02 07:19:09,1.0,2.87,151,74,0.0,14.3,0.0
2021-01-02 07:51:00,1.0,0.92,170,100,1.0,10.3,2.5
2021-01-02 07:30:01,1.0,1.52,107,186,2.26,13.56,2.5
2021-01-02 07:42:11,1.0,1.23,100,50,1.86,11.16,2.5
2021-01-02 07:07:03,1.0,5.8,24,158,2.0,23.3,2.5
2021-01-02 07:39:15,1.0,3.0,113,142,2.65,15.95,2.5
2021-01-02 07:57:53,1.0,0.5,143,142,0.0,7.8,2.5
2021-01-02 07:09:27,1.0,2.03,141,161,0.0,11.3,2.5
2021-01-02 07:23:27,1.0,4.68,48,13,0.0,19.8,2.5
2021-01-02 07:59:06,1.0,3.2,143,107,2.96,17.76,2.5
2021-01-02 07:03:00,1.0,2.2,237,246,0.0,12.8,2.5
2021-01-02 07:14:42,1.0,1.0,246,164,2.0,11.3,2.5
2021-01-02 07:29:49,2.0,1.0,186,186,0.0,30.3,0.0
2021-01-02 07:52:09,2.0,1.0,226,226,0.0,25.3,0.0
2021-01-02 07:18:17,1.0,0.77,142,143,0.0,7.8,2.5
2021-01-02 07:25:09,1.0,3.74,50,75,3.26,19.56,2.5
2021-01-02 07:42:30,1.0,1.51,74,263,0.0,6.8,0.0
2021-01-02 07:52:57,1.0,3.29,239,246,3.06,18.36,2.5
2021-01-02 07:18:59,1.0,9.35,100,138,6.46,38.76,2.5
2021-01-02 07:13:38,1.0,1.8,141,137,2.55,12.85,2.5
2021-01-02 07:19:58,1.0,0.8,137,170,1.65,9.95,2.5
2021-01-02 07:19:06,1.0,1.8,166,74,2.45,12.25,0.0
2021-01-02 07:02:05,1.0,0.5,143,48,1.2,8.5,2.5
2021-01-02 07:50:37,1.0,2.3,151,74,2.95,14.75,0.0
2021-01-02 07:37:50,2.0,19.45,132,263,8.3,63.6,2.5
2021-01-02 07:46:47,1.0,0.97,74,41,0.0,6.8,0.0
2021-01-02 07:16:32,1.0,1.65,142,141,0.0,11.3,2.5
2021-01-02 07:48:39,1.0,3.67,151,140,0.0,16.8,2.5
2021-01-02 07:41:25,1.0,0.3,142,142,0.0,6.3,2.5
2021-01-02 07:44:25,1.0,1.0,142,239,1.0,9.3,2.5
2021-01-02 07:57:19,1.0,1.4,238,236,0.0,10.3,2.5
2021-01-02 07:15:37,2.0,0.9,162,230,0.0,8.3,2.5
2021-01-02 07:37:12,1.0,0.6,262,236,1.55,9.35,2.5
2021-01-02 07:50:39,1.0,1.8,262,74,0.0,11.3,2.5
2021-01-02 07:29:34,1.0,1.87,137,140,1.5,11.8,2.5
2021-01-02 07:52:11,1.0,1.11,162,137,1.86,11.16,2.5
2021-01-02 07:58:13,1.0,0.97,137,170,0.0,8.8,2.5
2021-01-02 07:55:31,2.0,3.5,42,239,0.0,17.8,2.5
2021-01-02 07:02:53,3.0,2.35,107,140,0.0,11.3,2.5
2021-01-02 07:13:35,2.0,2.92,263,100,1.0,15.3,2.5
2021-01-02 07:06:38,1.0,0.72,166,166,0.7,6.0,0.0
2021-01-02 07:28:35,1.0,2.56,143,164,0.0,13.3,2.5
2021-01-02 07:49:12,1.0,1.42,137,79,1.4,10.7,2.5
2021-01-02 07:56:37,1.0,2.76,79,48,3.7,18.5,2.5
2021-01-02 07:38:59,1.0,2.19,141,170,2.16,12.96,2.5
2021-01-02 07:49:30,1.0,1.61,79,186,1.62,12.42,2.5
2021-01-02 07:02:16,1.0,3.19,79,137,2.76,16.56,2.5
2021-01-02 07:55:14,1.0,1.5,262,75,0.0,10.8,2.5
2021-01-02 07:26:47,1.0,1.9,74,152,0.0,9.8,0.0
2021-01-02 07:00:05,1.0,0.26,229,229,2.04,8.84,2.5
2021-01-02 07:31:31,1.0,3.8,164,193,0.0,16.3,2.5
2021-01-02 07:44:38,1.0,4.22,193,170,0.0,17.8,2.5
2021-01-02 07:59:28,1.0,0.93,170,186,1.96,11.76,2.5
2021-01-02 07:23:47,1.0,4.06,233,75,3.0,19.8,2.5
2021-01-02 07:57:14,1.0,0.53,141,237,1.46,8.76,2.5
2021-01-02 07:49:46,1.0,1.15,24,75,0.0,6.8,0.0
2021-01-02 07:27:37,3.0,0.78,137,107,1.5,8.8,2.5
2021-01-02 07:36:00,3.0,1.85,233,140,0.0,10.3,2.5
2021-01-02 07:10:06,5.0,3.48,142,152,3.06,18.36,2.5
2021-01-02 07:01:08,1.0,1.66,229,263,0.0,9.8,2.5
2021-01-02 07:25:26,1.0,3.91,140,168,0.0,16.8,2.5
2021-01-02 07:51:30,1.0,1.07,263,75,1.76,10.56,2.5
2021-01-02 07:26:08,1.0,4.44,114,236,3.0,20.8,2.5
2021-01-02 07:21:51,1.0,1.64,262,233,3.09,13.39,2.5
2021-01-02 07:41:33,1.0,5.14,233,231,1.0,21.3,2.5
2021-01-02 07:02:46,1.0,0.7,48,230,2.6,11.4,2.5
2021-01-02 07:32:51,1.0,2.4,140,143,2.76,16.56,2.5
2021-01-02 07:47:26,1.0,4.3,143,74,0.0,17.3,2.5
2021-01-02 07:43:28,1.0,2.68,43,234,3.84,16.64,2.5
2021-01-02 07:14:31,2.0,4.58,68,166,0.0,17.8,2.5
2021-01-02 07:37:07,2.0,0.76,238,239,1.95,9.75,2.5
2021-01-02 07:45:43,1.0,0.35,143,142,0.0,6.8,2.5
2021-01-02 07:55:42,2.0,4.19,68,140,0.0,18.3,2.5
2021-01-02 07:13:44,1.0,3.0,48,144,2.75,16.55,2.5
2021-01-02 07:28:06,2.0,18.7,132,164,0.0,55.3,2.5
2021-01-02 07:59:38,1.0,2.1,13,158,1.5,13.8,2.5
2021-01-02 07:12:36,1.0,2.3,43,42,2.0,13.3,0.0
2021-01-02 07:36:05,1.0,2.89,238,68,0.0,13.3,2.5
2021-01-02 07:48:07,1.0,0.63,48,142,2.0,9.3,2.5
2021-01-02 07:19:40,1.0,1.2,186,68,3.0,11.8,2.5
2021-01-02 07:03:58,1.0,2.64,140,233,2.66,15.96,2.5
2021-01-02 07:24:33,1.0,1.5,166,238,3.35,14.65,2.5
2021-01-02 07:00:27,1.0,7.26,263,18,0.0,24.8,2.5
2021-01-02 07:40:57,1.0,0.71,262,237,0.0,8.3,2.5
2021-01-02 07:58:26,1.0,3.69,262,159,3.06,18.36,2.5
2021-01-02 07:03:16,1.0,2.22,137,163,3.32,16.62,2.5
2021-01-02 07:45:15,1.0,0.36,229,229,0.0,6.8,2.5
2021-01-02 07:52:26,1.0,1.3,262,140,1.95,11.75,2.5
2021-01-02 07:56:28,2.0,2.64,186,45,0.0,12.8,2.5
2021-01-02 07:25:38,1.0,0.8,7,179,0.0,5.3,0.0
2021-01-02 07:39:31,1.0,2.21,141,75,0.0,11.8,2.5
2021-01-02 07:52:51,1.0,1.13,75,74,0.0,5.8,0.0
2021-01-02 07:56:30,1.0,0.96,238,236,0.0,5.8,0.0
2021-01-02 07:53:51,1.0,2.8,125,230,3.0,15.8,2.5
2021-01-02 07:27:38,1.0,10.0,239,240,6.85,41.15,2.5
2021-01-02 07:59:42,2.0,7.28,151,151,0.0,28.8,0.0
2021-01-02 07:22:33,1.0,6.7,137,112,4.75,28.55,2.5
2021-01-02 07:18:14,1.0,0.7,262,140,1.65,9.95,2.5
2021-01-02 07:33:02,1.0,3.2,236,107,1.0,15.3,2.5
2021-01-02 07:52:11,5.0,0.54,239,43,0.0,7.8,2.5
2021-01-02 07:39:28,1.0,2.89,186,237,0.0,13.3,2.5
2021-01-02 07:07:46,1.0,1.34,170,234,1.0,11.8,2.5
2021-01-02 07:21:30,1.0,1.11,211,79,3.0,11.8,2.5
2021-01-02 07:02:14,4.0,12.77,233,181,0.0,38.8,2.5
2021-01-02 07:58:25,1.0,0.48,236,263,1.36,8.16,2.5
2021-01-02 07:36:57,2.0,1.08,236,141,1.76,10.56,2.5
2021-01-02 07:50:05,1.0,1.28,142,48,0.0,9.3,2.5
2021-01-02 07:29:10,2.0,2.65,263,170,3.0,15.3,2.5
2021-01-02 07:42:19,2.0,0.79,107,137,1.56,9.36,2.5
2021-01-02 07:46:11,2.0,1.3,137,186,1.96,11.76,2.5
2021-01-02 07:15:50,1.0,4.5,74,48,3.56,21.36,2.5
2021-01-02 07:03:38,1.0,3.0,79,140,2.75,16.55,2.5
2021-01-02 07:41:59,1.0,6.2,107,260,0.0,24.8,2.5
2021-01-02 07:58:20,1.0,1.3,107,79,2.5,13.3,2.5
2021-01-02 07:09:52,1.0,1.02,263,236,1.66,9.96,2.5
2021-01-02 07:47:32,2.0,0.44,143,143,1.46,8.76,2.5
2021-01-02 07:54:36,1.0,0.98,143,142,0.0,8.8,2.5
2021-01-02 07:10:10,1.0,2.8,88,234,0.0,13.3,2.5
2021-01-02 07:41:28,1.0,3.0,100,238,0.0,14.8,2.5
2021-01-02 07:59:58,1.0,0.51,211,144,1.56,9.36,2.5
2021-01-02 07:18:01,1.0,1.64,238,142,0.0,11.3,2.5
2021-01-02 07:37:05,1.0,1.7,79,186,2.25,13.55,2.5
2021-01-02 07:57:49,1.0,1.5,79,186,0.0,11.8,2.5
2021-01-02 07:35:35,1.0,5.4,142,244,3.12,23.92,2.5
2021-01-02 07:41:32,1.0,10.6,65,166,0.0,35.8,2.5
2021-01-02 07:48:41,1.0,1.79,231,79,2.26,13.56,2.5
2021-01-02 07:29:44,1.0,14.6,24,72,0.0,50.3,2.5
2021-01-02 07:43:32,2.0,1.51,75,74,1.46,8.76,0.0
2021-01-02 07:26:30,1.0,4.22,238,244,2.96,17.76,0.0
2021-01-02 07:56:02,1.0,1.8,140,142,3.05,15.35,2.5
2021-01-02 07:52:51,1.0,0.61,116,116,1.59,6.89,0.0
2021-01-02 07:14:05,5.0,1.06,79,148,0.0,9.3,2.5
2021-01-02 07:50:29,5.0,1.38,151,75,1.46,8.76,0.0
2021-01-02 07:30:02,1.0,2.21,116,151,0.0,10.3,0.0
2021-01-02 07:23:51,1.0,0.67,238,151,0.0,5.3,0.0
2021-01-02 07:58:19,1.0,1.8,166,75,2.26,13.56,0.0
2021-01-02 07:58:25,1.0,0.36,230,48,0.0,6.8,2.5
2021-01-02 07:02:16,1.0,3.99,162,7,0.0,17.8,2.5
2021-01-02 07:11:59,2.0,6.28,24,137,0.0,23.3,2.5
2021-01-02 07:29:56,2.0,1.42,137,170,2.58,12.88,2.5
2021-01-02 07:39:07,2.0,2.86,249,162,2.96,17.76,2.5
2021-01-02 07:56:31,2.0,1.52,163,164,3.09,13.39,2.5
2021-01-02 07:07:47,1.0,1.2,186,246,2.45,12.25,2.5
2021-01-02 07:22:44,1.0,0.92,249,68,0.0,7.8,2.5
2021-01-02 07:41:31,1.0,0.39,246,186,0.0,6.8,2.5
2021-01-02 07:46:53,1.0,0.41,68,68,0.0,7.3,2.5
2021-01-02 07:51:46,1.0,2.1,68,143,0.0,12.3,2.5
2021-01-02 07:01:29,6.0,2.35,211,170,1.5,13.3,2.5
2021-01-02 07:12:57,6.0,0.76,137,107,1.5,8.8,2.5
2021-01-02 07:31:13,6.0,10.74,233,228,9.99,43.29,2.5
2021-01-02 07:49:05,1.0,2.2,146,161,3.08,15.38,2.5
2021-01-02 07:48:28,1.0,6.78,116,220,0.0,20.8,0.0
2021-01-02 07:06:41,2.0,0.9,186,161,2.45,10.75,2.5
2021-01-02 07:38:37,2.0,2.57,100,237,0.0,13.8,2.5
2021-01-02 07:50:51,3.0,0.67,236,263,0.0,7.8,2.5
2021-01-02 07:24:09,1.0,4.81,233,166,0.0,18.3,2.5
2021-01-02 07:51:51,1.0,5.6,142,129,4.45,26.75,2.5
2021-01-02 07:01:23,2.0,0.4,75,75,0.0,4.8,0.0
2021-01-02 07:24:43,1.0,1.7,140,142,2.5,14.3,2.5
2021-01-02 07:42:19,1.0,3.2,75,100,0.0,14.3,2.5
2021-01-02 07:05:15,1.0,1.88,142,24,2.0,12.8,2.5
2021-01-02 07:41:15,1.0,4.61,74,126,0.0,16.3,0.0
2021-01-02 07:26:24,2.0,33.96,132,1,25.39,152.35,0.0
2021-01-02 07:05:10,1.0,1.25,48,234,0.0,9.8,2.5
2021-01-02 07:16:45,1.0,3.35,137,262,0.0,14.3,2.5
2021-01-02 07:00:24,1.0,1.9,74,166,1.85,12.15,0.0
2021-01-02 07:36:12,2.0,4.5,246,166,3.55,21.35,2.5
2021-01-02 07:14:14,3.0,2.75,238,140,1.2,15.0,2.5
2021-01-02 07:40:19,6.0,6.98,116,200,0.0,24.8,0.0
2021-01-02 07:52:50,1.0,2.74,48,140,0.0,14.3,2.5
2021-01-02 07:04:32,1.0,2.39,107,140,0.0,11.8,2.5
2021-01-02 07:09:40,1.0,1.1,141,236,0.0,9.3,2.5
2021-01-02 07:41:46,1.0,2.3,143,140,2.75,16.55,2.5
2021-01-02 07:06:57,1.0,2.76,75,168,1.5,11.8,0.0
2021-01-02 07:37:52,1.0,7.05,75,78,4.26,25.56,0.0
2021-01-02 07:17:12,1.0,18.57,132,33,10.06,60.36,0.0
2021-01-02 07:50:16,1.0,15.08,65,250,0.0,43.8,2.5
2021-01-02 07:20:03,1.0,1.8,142,140,2.36,14.16,2.5
2021-01-02 07:13:54,1.0,1.01,75,74,0.0,5.8,0.0
2021-01-02 07:29:09,1.0,2.91,42,147,1.0,14.3,0.0
2021-01-02 07:20:01,1.0,0.94,163,143,1.76,10.56,2.5
2021-01-02 07:33:02,1.0,1.08,151,239,1.66,9.96,2.5
2021-01-02 07:06:16,1.0,1.6,162,141,2.05,12.35,2.5
2021-01-02 07:16:45,4.0,1.2,237,140,0.0,10.8,2.5
2021-01-02 07:51:22,1.0,1.2,168,168,0.0,8.3,0.0
2021-01-02 07:52:30,4.0,16.64,132,256,8.0,53.3,0.0
2021-01-02 07:32:12,1.0,9.89,159,144,0.0,32.8,2.5
2021-01-02 07:29:57,1.0,0.74,48,100,0.0,8.3,2.5
2021-01-02 07:55:53,2.0,2.4,107,237,2.45,14.75,2.5
2021-01-02 07:34:55,1.0,1.17,186,107,2.33,11.63,2.5
2021-01-02 07:49:54,1.0,6.56,170,42,0.0,23.8,2.5
2021-01-02 07:19:33,1.0,2.26,237,142,2.0,14.8,2.5
2021-01-02 07:43:56,1.0,2.2,249,209,0.0,12.3,2.5
2021-01-02 07:35:56,1.0,5.0,140,226,0.0,22.8,2.5
2021-01-02 07:52:47,2.0,0.55,237,161,1.36,8.16,2.5
2021-01-02 07:00:58,2.0,2.5,229,107,0.0,11.8,2.5
2021-01-02 07:09:13,2.0,1.9,107,229,0.0,11.3,2.5
2021-01-02 07:40:58,1.0,2.1,246,137,1.0,13.3,2.5
2021-01-02 07:03:57,1.0,0.8,236,75,0.0,7.8,2.5
2021-01-02 07:53:05,1.0,8.9,137,138,7.0,40.92,2.5
2021-01-02 07:00:08,1.0,6.29,42,161,7.0,30.8,2.5
2021-01-02 07:59:50,1.0,2.89,239,75,4.44,19.24,2.5
2021-01-02 07:26:05,1.0,0.5,238,24,0.0,4.3,0.0
2021-01-02 07:53:50,1.0,0.7,151,238,1.65,9.95,2.5
2021-01-02 07:09:47,1.0,2.28,143,68,0.0,16.3,2.5
2021-01-02 07:09:58,1.0,1.16,45,12,0.0,9.3,2.5
2021-01-02 07:30:28,1.0,6.46,88,161,0.0,23.8,2.5
2021-01-02 07:58:30,1.0,0.8,90,107,2.05,10.35,2.5
2021-01-02 07:00:35,1.0,1.9,79,229,0.0,10.3,2.5
2021-01-02 07:36:55,1.0,6.2,151,113,0.0,23.8,2.5
2021-01-02 07:55:26,1.0,1.2,249,68,0.0,9.3,2.5
2021-01-02 07:01:34,1.0,2.04,237,75,0.0,10.8,2.5
2021-01-02 07:20:20,2.0,0.45,239,239,4.0,10.8,2.5
2021-01-02 07:25:33,1.0,4.8,186,75,3.85,23.15,2.5
2021-01-02 07:28:47,1.0,19.0,132,41,0.0,58.92,0.0
2021-01-02 07:58:44,1.0,0.8,142,48,1.95,9.75,2.5
2021-01-02 07:19:47,1.0,1.0,142,143,1.85,11.15,2.5
2021-01-02 07:42:58,1.0,0.6,142,142,2.05,10.35,2.5
2021-01-02 07:15:04,1.0,1.6,186,161,2.05,12.35,2.5
2021-01-02 07:57:38,1.0,3.0,186,141,0.0,15.3,2.5
2021-01-02 07:20:30,1.0,0.78,262,140,1.56,9.36,2.5
2021-01-02 07:55:17,1.0,3.79,140,74,3.36,20.16,2.5
2021-01-02 07:29:06,1.0,0.34,263,236,1.89,8.19,2.5
2021-01-02 07:42:49,1.0,0.7,48,230,0.0,8.3,2.5
2021-01-02 07:00:04,1.0,1.59,186,161,2.06,12.36,2.5
2021-01-02 07:11:34,1.0,2.88,162,170,2.76,16.56,2.5
2021-01-02 07:31:58,1.0,0.19,90,90,0.0,6.3,2.5
2021-01-02 07:39:09,1.0,1.44,186,137,0.0,9.8,2.5
2021-01-02 07:46:36,1.0,1.12,137,186,2.0,11.8,2.5
2021-01-02 07:40:47,1.0,2.39,143,186,2.0,14.3,2.5
2021-01-02 07:52:48,1.0,2.74,249,161,3.32,16.62,2.5
2021-01-02 07:17:04,1.0,3.33,143,75,1.63,17.1,2.5
2021-01-02 07:03:58,1.0,0.44,141,141,1.36,8.16,2.5
2021-01-02 07:38:30,1.0,1.74,137,141,2.45,12.25,2.5
2021-01-02 07:44:30,1.0,4.16,141,125,2.0,19.8,2.5
2021-01-02 07:43:24,1.0,3.43,142,137,0.0,16.3,2.5
2021-01-02 07:46:15,1.0,20.53,132,87,8.3,63.6,2.5
2021-01-02 07:14:52,2.0,2.5,186,229,2.65,15.95,2.5
2021-01-02 07:34:18,1.0,1.1,162,137,1.0,10.3,2.5
2021-01-02 07:34:48,1.0,2.0,140,233,2.95,14.75,2.5
2021-01-02 07:53:16,1.0,0.49,107,170,2.0,8.8,2.5
2021-01-02 07:58:16,1.0,1.03,170,229,0.0,8.3,2.5
2021-01-02 07:56:39,1.0,1.0,170,162,0.0,8.3,2.5
2021-01-02 07:42:31,2.0,1.01,90,246,1.86,11.16,2.5
2021-01-02 07:16:30,1.0,0.5,140,229,1.46,8.76,2.5
2021-01-02 07:42:24,1.0,2.6,263,237,2.66,15.96,2.5
2021-01-02 07:44:50,3.0,1.38,100,246,2.16,12.96,2.5
2021-01-02 07:49:21,1.0,1.96,237,170,1.54,11.84,2.5
2021-01-02 07:55:59,1.0,0.95,164,234,1.76,10.56,2.5
2021-01-02 07:42:19,2.0,1.26,140,163,2.06,12.36,2.5
2021-01-02 07:16:39,1.0,2.98,263,100,2.86,17.16,2.5
2021-01-02 07:37:08,1.0,1.41,48,142,1.86,11.16,2.5
2021-01-02 07:55:14,1.0,2.32,143,236,2.56,15.36,2.5
2021-01-02 07:09:36,1.0,4.63,100,232,0.0,19.3,2.5
2021-01-02 07:53:23,1.0,4.34,68,65,0.0,18.3,2.5
2021-01-02 07:56:39,1.0,1.6,137,48,2.15,12.95,2.5
2021-01-02 07:08:01,1.0,0.86,48,68,0.0,7.8,2.5
2021-01-02 07:40:04,1.0,1.4,237,236,0.0,9.3,2.5
2021-01-02 07:35:55,1.0,1.21,263,75,1.4,10.7,2.5
2021-01-02 07:54:13,1.0,0.57,151,238,0.0,4.8,0.0
2021-01-02 07:36:23,1.0,6.76,137,188,0.2,25.5,2.5
