tpep_pickup_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,tip_amount,total_amount,congestion_surcharge
2021-01-02 08:16:40,1.0,0.56,140,229,0.0,7.3,2.5
2021-01-02 08:22:28,1.0,1.22,140,237,1.96,11.76,2.5
2021-01-02 08:11:37,1.0,1.8,163,142,2.46,14.76,2.5
2021-01-02 08:43:42,1.0,2.8,163,249,1.0,15.3,2.5
2021-01-02 08:14:22,1.0,1.4,90,170,1.85,11.15,2.5
2021-01-02 08:24:12,1.0,0.7,233,229,1.0,8.3,2.5
2021-01-02 08:47:05,1.0,1.6,68,43,1.5,11.3,2.5
2021-01-02 08:33:53,1.0,0.39,234,107,0.0,6.8,2.5
2021-01-02 08:43:54,2.0,2.7,142,236,0.0,15.8,2.5
2021-01-02 08:41:57,1.0,2.8,50,140,3.05,18.35,2.5
2021-01-02 08:35:10,1.0,12.1,132,129,0.0,35.8,0.0
2021-01-02 08:49:56,6.0,3.71,100,45,0.0,16.3,2.5
2021-01-02 08:37:40,1.0,19.21,132,263,15.36,76.78,2.5
2021-01-02 08:33:39,1.0,1.19,166,166,0.0,7.3,0.0
2021-01-02 08:47:57,1.0,1.61,238,48,1.36,12.66,2.5
2021-01-02 08:17:43,1.0,2.0,48,234,0.0,11.8,2.5
2021-01-02 08:47:47,1.0,2.1,246,234,3.8,16.6,2.5
2021-01-02 08:52:11,6.0,1.17,144,113,0.0,9.8,2.5
2021-01-02 08:52:39,1.0,3.98,229,112,3.36,20.16,2.5
2021-01-02 08:11:47,1.0,0.5,74,74,0.0,4.3,0.0
2021-01-02 08:25:07,1.0,2.2,237,143,2.75,16.55,2.5
2021-01-02 08:49:00,3.0,0.6,239,238,2.05,10.35,2.5
2021-01-02 08:44:45,1.0,18.04,132,74,11.78,70.7,0.0
2021-01-02 08:44:49,2.0,3.15,137,143,0.0,16.8,2.5
2021-01-02 08:37:17,1.0,2.64,137,263,2.46,14.76,2.5
2021-01-02 08:51:28,1.0,0.7,263,236,0.0,8.3,2.5
2021-01-02 08:19:25,1.0,0.6,238,238,0.0,8.8,2.5
2021-01-02 08:34:20,1.0,0.6,239,239,1.75,10.55,2.5
2021-01-02 08:09:58,1.0,2.06,68,43,1.2,12.0,2.5
2021-01-02 08:25:25,1.0,1.17,140,229,2.79,12.09,2.5
2021-01-02 08:28:44,1.0,3.11,263,142,3.08,22.44,2.5
2021-01-02 08:43:56,1.0,1.3,116,244,1.11,8.91,0.0
2021-01-02 08:28:12,1.0,1.02,137,229,1.0,9.8,2.5
2021-01-02 08:15:18,1.0,0.4,90,246,1.46,8.76,2.5
2021-01-02 08:26:33,1.0,1.4,90,137,2.45,12.25,2.5
2021-01-02 08:54:17,2.0,0.4,224,224,0.0,7.3,2.5
2021-01-02 08:48:07,1.0,1.2,48,186,0.0,10.8,2.5
2021-01-02 08:41:39,1.0,0.17,238,151,0.0,3.8,0.0
2021-01-02 08:06:00,1.0,0.5,237,140,2.0,8.8,2.5
2021-01-02 08:17:31,1.0,11.3,262,256,2.7,39.0,2.5
2021-01-02 08:21:39,1.0,2.1,142,50,2.0,14.8,2.5
2021-01-02 08:44:45,1.0,0.23,239,239,2.0,8.8,2.5
2021-01-02 08:36:55,1.0,2.43,186,237,3.84,16.64,2.5
2021-01-02 08:43:15,1.0,1.4,132,193,0.0,52.8,0.0
2021-01-02 08:03:53,1.0,1.86,170,163,2.26,13.56,2.5
2021-01-02 08:36:11,1.0,0.6,238,151,3.0,8.3,0.0
2021-01-02 08:13:22,1.0,21.5,132,88,11.05,66.35,2.5
2021-01-02 08:39:58,1.0,0.71,48,50,0.0,7.8,2.5
2021-01-02 08:15:46,1.0,0.65,262,262,1.17,8.97,2.5
2021-01-02 08:19:31,1.0,2.09,262,75,0.0,12.8,2.5
2021-01-02 08:40:00,1.0,0.86,237,263,0.0,7.8,2.5
2021-01-02 08:26:39,1.0,1.36,107,4,0.0,9.8,2.5
2021-01-02 08:38:46,1.0,1.11,114,249,1.86,11.16,2.5
2021-01-02 08:23:21,1.0,0.64,48,68,0.0,8.3,2.5
2021-01-02 08:05:39,1.0,2.91,170,125,0.0,14.3,2.5
2021-01-02 08:16:02,1.0,8.9,90,167,3.0,35.3,2.5
2021-01-02 08:04:04,1.0,0.91,234,186,0.0,8.8,2.5
2021-01-02 08:19:27,1.0,2.96,107,140,0.0,13.3,2.5
2021-01-02 08:25:28,1.0,0.58,48,246,1.76,10.56,2.5
2021-01-02 08:43:56,1.0,0.64,238,238,0.0,8.3,2.5
2021-01-02 08:55:41,1.0,4.59,239,114,4.83,24.13,2.5
2021-01-02 08:08:00,1.0,0.9,48,170,1.95,11.75,2.5
2021-01-02 08:45:32,2.0,2.0,141,164,2.25,13.55,2.5
2021-01-02 08:19:19,1.0,1.9,43,42,0.0,8.8,0.0
2021-01-02 08:44:12,1.0,3.14,166,143,2.0,17.3,2.5
