tpep_pickup_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,tip_amount,total_amount,congestion_surcharge
2021-09-04 07:08:45,5.0,6.4,79,151,3.0,26.8,2.5
2021-09-04 07:04:17,5.0,3.52,193,260,1.0,19.3,0.0
2021-09-04 07:01:36,2.0,1.96,229,68,0.0,12.8,2.5
2021-09-04 07:06:16,3.0,1.37,229,236,2.64,11.44,2.5
2021-09-04 07:01:55,1.0,1.63,74,236,1.0,10.8,2.5
2021-09-04 07:59:57,1.0,16.9,48,132,0.0,52.3,2.5
2021-09-04 07:06:46,1.0,0.3,50,48,1.35,8.15,2.5
2021-09-04 07:39:10,1.0,1.0,141,262,0.0,8.3,2.5
2021-09-04 07:53:10,1.0,9.4,236,208,2.0,40.85,2.5
2021-09-04 07:34:43,1.0,1.6,142,161,1.55,11.85,2.5
2021-09-04 07:04:37,1.0,0.3,238,151,0.0,4.3,0.0
2021-09-04 07:14:23,1.0,4.9,239,144,2.5,22.3,2.5
2021-09-04 07:44:28,1.0,1.0,90,230,0.0,8.3,2.5
2021-09-04 07:51:39,1.0,3.8,186,232,1.0,18.8,2.5
2021-09-04 07:33:06,2.0,6.3,132,197,0.0,21.05,0.0
2021-09-04 07:21:56,2.0,4.0,164,146,4.45,22.25,2.5
2021-09-04 07:13:07,1.0,1.8,237,107,0.0,10.3,2.5
2021-09-04 07:36:48,1.0,3.0,162,237,0.0,14.8,2.5
2021-09-04 07:59:05,1.0,2.3,237,137,1.5,13.3,2.5
2021-09-04 07:12:37,6.0,3.23,68,140,0.0,16.3,2.5
2021-09-04 07:29:07,6.0,3.28,140,74,0.0,15.3,2.5
2021-09-04 07:42:31,1.0,23.9,132,20,5.0,77.85,0.0
2021-09-04 07:06:51,2.0,0.98,230,163,0.0,8.3,2.5
2021-09-04 07:14:03,1.0,0.7,162,141,0.0,7.8,2.5
2021-09-04 07:48:11,1.0,1.46,226,83,0.0,7.8,0.0
2021-09-04 07:44:27,1.0,19.73,132,144,0.0,56.55,2.5
2021-09-04 07:37:10,1.0,3.9,107,75,3.06,18.36,2.5
2021-09-04 07:52:14,1.0,2.91,141,230,0.0,15.8,2.5
2021-09-04 07:56:30,1.0,8.8,43,87,0.0,29.3,2.5
2021-09-04 07:11:07,1.0,1.66,48,238,0.0,10.8,2.5
2021-09-04 07:19:30,1.0,1.92,238,263,0.0,12.3,2.5
2021-09-04 07:30:12,1.0,2.72,263,137,1.5,13.8,2.5
2021-09-04 07:41:29,1.0,0.5,79,114,0.0,6.8,2.5
2021-09-04 07:50:15,1.0,1.85,234,48,1.0,11.8,2.5
2021-09-04 07:19:50,1.0,3.22,186,140,0.0,15.3,2.5
2021-09-04 07:32:31,1.0,3.15,140,186,0.0,15.8,2.5
2021-09-04 07:46:49,1.0,1.13,186,137,0.0,10.3,2.5
2021-09-04 07:44:36,1.0,6.9,137,82,5.15,30.95,2.5
2021-09-04 07:33:12,5.0,1.96,260,82,0.0,10.8,0.0
2021-09-04 07:10:12,1.0,2.03,140,170,1.7,14.95,2.5
