tpep_pickup_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,tip_amount,total_amount,congestion_surcharge
2021-01-01 05:41:02,2.0,8.5,132,38,5.25,31.55,0.0
2021-01-01 05:24:30,5.0,2.86,137,141,2.76,16.56,2.5
2021-01-01 05:58:45,1.0,4.3,146,173,0.0,17.3,0.0
2021-01-01 05:43:57,1.0,19.8,132,140,10.0,71.42,2.5
2021-01-01 05:01:57,1.0,0.6,145,145,0.0,6.8,0.0
2021-01-01 05:43:58,1.0,2.4,75,162,2.46,14.76,2.5
2021-01-01 05:15:07,1.0,0.62,140,263,1.95,9.75,2.5
2021-01-01 05:25:49,1.0,0.66,170,170,5.0,12.8,2.5
2021-01-01 05:55:40,1.0,2.43,50,107,3.2,17.0,2.5
2021-01-01 05:03:24,1.0,6.02,140,159,0.0,26.8,2.5
2021-01-01 05:01:53,1.0,0.9,41,74,0.0,7.8,0.0
2021-01-01 05:41:42,1.0,5.88,107,7,0.0,22.8,2.5
2021-01-01 05:23:20,1.0,10.98,132,138,4.75,36.05,0.0
2021-01-01 05:40:04,1.0,1.53,141,43,3.09,13.39,2.5
2021-01-01 05:49:06,1.0,1.64,142,239,0.0,11.3,2.5
2021-01-01 05:44:29,1.0,1.8,79,68,5.0,17.3,2.5
2021-01-01 05:05:50,2.0,1.23,90,137,0.0,-11.3,-2.5
2021-01-01 05:05:50,2.0,1.23,90,137,0.0,11.3,2.5
2021-01-01 05:47:33,1.0,1.49,68,50,5.0,14.8,2.5
2021-01-01 05:56:25,2.0,4.26,68,166,3.56,21.36,2.5
2021-01-01 05:53:37,1.0,2.39,142,170,0.0,12.8,2.5
2021-01-01 05:32:48,2.0,16.52,132,89,0.0,46.8,0.0
2021-01-01 05:36:43,1.0,5.31,137,231,2.0,22.3,2.5
2021-01-01 05:16:10,1.0,1.7,107,68,2.25,13.55,2.5
2021-01-01 05:26:53,1.0,0.8,158,158,0.0,8.3,2.5
2021-01-01 05:36:54,1.0,1.2,158,246,1.85,11.15,2.5
2021-01-01 05:44:36,1.0,0.5,90,249,0.0,7.3,2.5
2021-01-01 05:56:18,1.0,3.2,186,238,1.0,15.8,2.5
2021-01-01 05:01:00,1.0,2.05,48,239,1.0,12.8,2.5
2021-01-01 05:39:36,1.0,6.81,50,244,0.0,23.8,2.5
2021-01-01 05:31:55,2.0,4.52,186,4,0.0,21.8,2.5
2021-01-01 05:25:37,1.0,2.16,237,164,0.0,12.3,2.5
2021-01-01 05:03:10,1.0,0.81,244,116,0.0,6.3,0.0
2021-01-01 05:07:19,1.0,0.7,169,235,0.0,5.8,0.0
2021-01-01 05:27:59,1.0,0.7,244,116,0.0,5.3,0.0
2021-01-01 05:46:17,1.0,2.5,239,41,3.55,17.85,2.5
2021-01-01 05:02:38,1.0,1.6,239,166,0.0,10.8,2.5
2021-01-01 05:28:03,1.0,6.2,143,244,0.0,22.3,2.5
2021-01-01 05:21:26,1.0,11.4,141,62,7.56,45.36,2.5
2021-01-01 05:01:10,2.0,0.1,41,41,0.0,4.3,0.0
2021-01-01 05:02:59,2.0,5.0,41,213,0.0,17.8,0.0
2021-01-01 05:29:07,5.0,2.72,229,90,2.76,16.56,2.5
2021-01-01 05:57:24,5.0,1.74,42,168,1.76,10.56,0.0
2021-01-01 05:36:59,1.0,2.28,142,140,2.76,16.56,2.5
2021-01-01 05:40:08,1.0,1.45,107,233,1.96,11.76,2.5
