tpep_pickup_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,tip_amount,total_amount,congestion_surcharge
2021-03-01 04:46:49,1.0,3.3,186,140,0.0,15.8,2.5
2021-03-01 04:22:51,1.0,4.94,151,186,0.0,22.3,2.5
2021-03-01 04:19:52,2.0,2.09,116,41,0.0,10.8,0.0
2021-03-01 04:59:21,1.0,2.2,143,75,0.0,12.8,2.5
2021-03-01 04:45:12,1.0,3.28,186,231,0.0,15.3,2.5
2021-03-01 04:59:00,1.0,1.41,231,148,0.0,10.8,2.5
2021-03-01 04:40:49,1.0,4.1,151,162,5.45,23.75,2.5
2021-03-01 04:58:58,1.0,3.46,186,145,0.0,23.92,2.5
2021-03-01 04:25:25,1.0,8.3,68,89,0.0,30.3,2.5
2021-03-01 04:54:21,3.0,7.77,249,83,0.0,29.3,2.5
2021-03-01 04:35:27,1.0,15.35,170,132,15.36,76.78,2.5
2021-03-01 04:20:07,1.0,1.9,100,79,0.0,11.8,2.5
2021-03-01 04:48:10,1.0,3.51,100,145,0.0,16.3,2.5
2021-03-01 04:57:13,2.0,1.5,170,100,0.0,11.3,2.5
2021-03-01 04:33:54,1.0,4.1,75,50,0.0,18.3,2.5
2021-03-01 04:51:01,1.0,0.1,48,48,0.0,6.3,2.5
2021-03-01 04:46:36,1.0,1.0,186,170,1.85,11.15,2.5
2021-03-01 04:47:55,2.0,3.8,186,151,3.26,19.56,2.5
2021-03-01 04:34:06,1.0,6.73,88,237,0.0,24.3,2.5
2021-03-01 04:33:42,1.0,3.2,48,4,2.0,19.3,2.5
2021-03-01 04:56:24,1.0,2.7,79,68,0.0,13.3,2.5
2021-03-01 04:58:13,1.0,7.1,79,223,8.0,34.8,2.5
2021-03-01 04:41:05,1.0,2.72,79,161,0.0,14.8,2.5
2021-03-01 04:30:25,1.0,16.6,38,137,0.0,53.42,0.0
2021-03-01 04:56:52,1.0,2.15,263,161,0.0,11.8,2.5
2021-03-01 04:46:20,1.0,5.0,68,87,2.0,21.8,2.5
2021-03-01 04:56:39,1.0,2.2,151,74,0.0,11.8,0.0
2021-03-01 04:46:40,1.0,1.8,137,107,2.25,13.55,2.5
