tpep_pickup_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,tip_amount,total_amount,congestion_surcharge
2021-06-05 06:01:45,1.0,18.24,132,48,5.0,68.1,2.5
2021-06-05 06:09:01,1.0,11.29,132,188,0.0,38.05,0.0
2021-06-05 06:30:52,1.0,2.6,263,233,2.0,14.3,2.5
2021-06-05 06:52:21,1.0,5.5,140,223,0.0,23.8,2.5
2021-06-05 06:25:31,1.0,1.3,68,163,0.0,9.3,2.5
2021-06-05 06:31:25,1.0,0.8,230,161,0.0,8.8,2.5
2021-06-05 06:46:42,1.0,0.9,230,100,0.0,8.3,2.5
2021-06-05 06:51:57,1.0,1.0,48,163,1.65,9.95,2.5
2021-06-05 06:19:49,1.0,1.4,238,75,0.0,9.8,2.5
2021-06-05 06:41:20,1.0,1.4,24,152,0.0,7.3,0.0
2021-06-05 06:14:01,1.0,8.02,186,17,0.0,29.8,2.5
2021-06-05 06:54:31,1.0,17.1,132,100,5.0,68.1,2.5
2021-06-05 06:14:13,1.0,1.95,143,90,0.0,11.8,2.5
2021-06-05 06:25:32,1.0,9.45,90,249,6.2,42.0,2.5
2021-06-05 06:08:38,1.0,1.06,48,186,1.2,10.0,2.5
2021-06-05 06:19:06,1.0,1.23,100,163,2.79,12.09,2.5
2021-06-05 06:51:22,2.0,6.97,262,138,5.0,37.35,2.5
2021-06-05 06:20:42,1.0,18.44,132,230,0.0,63.1,2.5
2021-06-05 06:49:34,1.0,0.8,260,82,2.0,7.8,0.0
2021-06-05 06:08:26,1.0,15.7,113,113,0.0,6.3,2.5
2021-06-05 06:24:18,1.0,2.5,48,79,2.85,17.15,2.5
2021-06-05 06:37:39,1.0,5.3,79,226,4.05,24.35,2.5
2021-06-05 06:52:52,1.0,18.57,132,163,12.62,75.72,2.5
2021-06-05 06:39:10,1.0,1.03,237,142,0.0,9.3,2.5
2021-06-05 06:59:59,1.0,17.0,132,226,10.0,59.05,0.0
2021-06-05 06:58:48,1.0,4.3,79,49,0.0,20.3,2.5
2021-06-05 06:54:37,1.0,0.7,100,48,1.55,9.35,2.5
2021-06-05 06:59:33,1.0,3.38,226,140,2.0,19.8,2.5
2021-06-05 06:40:30,1.0,2.0,107,229,0.0,10.3,2.5
2021-06-05 06:46:26,1.0,2.4,229,186,1.5,14.8,2.5
2021-06-05 06:44:30,1.0,2.8,161,75,2.55,15.35,2.5
2021-06-05 06:56:06,1.0,0.7,236,75,0.0,7.8,2.5
2021-06-05 06:42:00,1.0,1.5,263,140,1.85,11.15,2.5
2021-06-05 06:51:25,2.0,1.0,262,140,1.86,11.16,2.5
2021-06-05 06:46:58,1.0,0.01,238,238,0.0,5.8,2.5
2021-06-05 06:47:28,2.0,19.95,238,223,0.0,61.85,2.5
2021-06-05 06:46:44,1.0,1.99,132,132,0.0,8.8,0.0
2021-06-05 06:45:56,2.0,2.9,148,246,0.0,14.8,2.5
2021-06-05 06:37:58,1.0,16.8,132,164,0.0,63.1,2.5
2021-06-05 06:26:24,1.0,1.0,263,140,0.0,8.3,2.5
2021-06-05 06:39:46,1.0,1.9,75,141,2.05,12.35,2.5
2021-06-05 06:02:28,1.0,4.57,233,87,0.0,16.8,2.5
2021-06-05 06:17:23,1.0,8.69,12,26,0.0,31.3,2.5
2021-06-05 06:39:33,1.0,0.71,237,236,1.1,8.4,2.5
2021-06-05 06:47:37,1.0,10.31,236,138,6.05,46.4,2.5
2021-06-05 06:56:51,1.0,3.2,48,236,3.05,18.35,2.5
2021-06-05 06:52:22,3.0,18.0,132,79,5.0,68.1,2.5
2021-06-05 06:09:13,2.0,10.13,107,138,5.0,43.85,2.5
2021-06-05 06:52:51,1.0,0.6,90,186,1.46,8.76,2.5
2021-06-05 06:08:27,1.0,2.38,238,140,1.7,14.5,2.5
2021-06-05 06:43:39,1.0,18.95,132,68,5.0,66.06,2.5
2021-06-05 06:35:29,5.0,2.12,25,45,0.0,11.8,2.5
2021-06-05 06:40:29,1.0,17.4,132,164,0.0,63.1,2.5
2021-06-05 06:52:48,1.0,2.3,144,170,3.95,17.25,2.5
2021-06-05 06:00:27,2.0,1.82,107,144,5.0,15.8,2.5
2021-06-05 06:42:55,2.0,2.8,90,239,2.66,15.96,2.5
2021-06-05 06:54:14,2.0,2.64,239,68,2.66,15.96,2.5
2021-06-05 06:45:22,1.0,1.79,162,186,0.0,11.8,2.5
2021-06-05 06:13:29,1.0,2.88,75,140,2.86,17.16,2.5
2021-06-05 06:25:12,1.0,0.7,140,141,1.17,8.97,2.5
2021-06-05 06:39:47,1.0,1.76,229,48,2.46,14.76,2.5
2021-06-05 06:59:03,1.0,5.53,143,244,5.32,26.62,2.5
2021-06-05 06:42:02,1.0,18.0,132,230,12.62,75.72,2.5
2021-06-05 06:27:04,1.0,17.88,263,132,12.37,74.22,2.5
2021-06-05 06:22:41,1.0,0.5,143,142,2.0,10.3,2.5
2021-06-05 06:28:47,1.0,5.6,48,116,0.0,23.3,2.5
2021-06-05 06:34:47,1.0,2.54,75,162,2.95,14.75,2.5
2021-06-05 06:44:03,1.0,2.09,162,234,1.5,14.3,2.5
2021-06-05 06:13:50,1.0,16.8,132,145,10.2,61.25,0.0
2021-06-05 06:51:41,1.0,21.7,145,62,0.0,63.8,0.0
2021-06-05 06:21:01,2.0,8.8,132,177,5.0,33.55,0.0
2021-06-05 06:03:00,1.0,2.7,141,48,2.96,17.76,2.5
2021-06-05 06:30:17,2.0,1.8,238,75,0.0,12.3,2.5
2021-06-05 06:13:43,1.0,1.0,41,151,1.82,9.12,0.0
2021-06-05 06:25:42,1.0,1.45,142,43,2.06,12.36,2.5
2021-06-05 06:22:05,1.0,0.91,41,166,0.0,5.8,0.0
2021-06-05 06:31:33,1.0,2.18,24,236,2.46,14.76,2.5
2021-06-05 06:39:00,1.0,3.5,262,48,3.55,21.35,2.5
2021-06-05 06:40:56,1.0,18.09,132,186,0.0,63.1,2.5
2021-06-05 06:32:41,1.0,11.0,142,138,7.25,43.55,2.5
2021-06-05 06:21:35,1.0,22.7,132,228,0.0,62.55,0.0
2021-06-05 06:50:01,1.0,12.9,132,138,8.0,46.05,0.0
2021-06-05 06:45:39,1.0,1.6,249,13,1.5,12.3,2.5
2021-06-05 06:28:12,1.0,3.2,263,107,0.0,13.8,2.5
2021-06-05 06:38:28,1.0,13.1,79,93,8.05,48.35,2.5
2021-06-05 06:04:49,1.0,2.63,107,48,4.74,20.54,2.5
2021-06-05 06:34:14,1.0,1.86,186,163,0.0,10.3,2.5
2021-06-05 06:54:05,1.0,1.62,162,142,0.0,10.3,2.5
2021-06-05 06:50:06,1.0,0.6,263,263,1.17,8.97,2.5
2021-06-05 06:53:37,1.0,1.2,263,140,2.2,11.0,2.5
2021-06-05 06:26:56,1.0,0.45,186,186,0.0,6.8,2.5
2021-06-05 06:22:24,1.0,17.31,48,132,13.82,69.12,2.5
2021-06-05 06:27:36,1.0,2.86,75,168,2.0,12.3,0.0
2021-06-05 06:41:50,1.0,1.92,263,229,1.0,11.3,2.5
2021-06-05 06:52:57,1.0,1.95,140,170,1.18,12.98,2.5
2021-06-05 06:09:16,3.0,4.0,262,234,3.45,20.75,2.5
2021-06-05 06:34:36,1.0,0.7,140,262,1.55,9.35,2.5
2021-06-05 06:47:10,1.0,3.9,262,164,1.0,17.8,2.5
2021-06-05 06:50:52,1.0,15.2,232,174,11.15,55.95,2.5
2021-06-05 06:15:50,1.0,3.3,143,249,3.0,18.8,2.5
2021-06-05 06:35:00,1.0,5.2,90,234,0.0,23.8,2.5
2021-06-05 06:41:12,2.0,17.97,132,141,4.0,60.55,2.5
2021-06-05 06:27:43,1.0,12.96,132,157,0.0,37.55,0.0
2021-06-05 06:47:19,1.0,20.6,239,132,12.35,74.2,2.5
2021-06-05 06:56:55,1.0,1.59,107,186,2.0,12.3,2.5
2021-06-05 06:28:56,1.0,0.62,75,75,0.0,5.3,0.0
2021-06-05 06:28:22,1.0,5.2,186,209,4.95,24.75,2.5
2021-06-05 06:43:39,1.0,4.1,209,48,0.0,16.8,2.5
2021-06-05 06:12:40,1.0,1.47,186,100,1.96,11.76,2.5
