tpep_pickup_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,tip_amount,total_amount,congestion_surcharge
2021-01-01 06:26:36,1.0,3.1,186,140,4.7,20.5,2.5
2021-01-01 06:02:06,1.0,0.53,68,100,0.0,7.3,2.5
2021-01-01 06:38:36,1.0,4.33,186,236,4.0,21.8,2.5
2021-01-01 06:50:43,6.0,2.61,100,141,2.57,16.87,2.5
2021-01-01 06:54:37,1.0,0.69,239,238,1.56,9.36,2.5
2021-01-01 06:56:37,1.0,1.0,161,186,0.0,9.3,2.5
2021-01-01 06:31:29,1.0,2.21,142,151,2.66,15.96,2.5
2021-01-01 06:48:00,1.0,4.38,238,137,1.7,21.0,2.5
2021-01-01 06:26:38,1.0,0.88,262,141,1.66,9.96,2.5
2021-01-01 06:42:12,1.0,0.77,170,137,1.66,9.96,2.5
2021-01-01 06:56:30,1.0,1.35,141,140,0.0,9.3,2.5
2021-01-01 06:31:58,1.0,10.3,138,107,7.45,44.75,2.5
2021-01-01 06:52:06,1.0,0.08,244,244,0.01,17.01,0.0
2021-01-01 06:55:47,1.0,5.23,244,239,0.0,19.3,2.5
2021-01-01 06:11:06,1.0,21.58,186,164,0.0,66.8,2.5
2021-01-01 06:15:12,1.0,1.5,226,7,1.55,9.35,0.0
2021-01-01 06:09:16,2.0,0.66,107,234,0.0,7.8,2.5
2021-01-01 06:18:41,1.0,4.07,246,24,3.16,18.96,2.5
2021-01-01 06:32:28,1.0,1.67,238,236,0.0,11.3,2.5
2021-01-01 06:40:24,1.0,1.51,236,238,2.06,12.36,2.5
2021-01-01 06:18:09,1.0,3.96,79,263,0.0,16.3,2.5
2021-01-01 06:55:55,1.0,3.3,233,143,1.0,16.8,2.5
2021-01-01 06:17:29,1.0,0.96,82,129,0.0,6.3,0.0
2021-01-01 06:00:38,1.0,1.6,186,158,1.0,11.8,2.5
2021-01-01 06:25:30,1.0,1.1,249,224,0.0,9.3,2.5
2021-01-01 06:08:26,1.0,0.83,151,166,0.0,5.3,0.0
2021-01-01 06:53:57,1.0,3.03,90,87,3.7,18.0,2.5
2021-01-01 06:16:08,1.0,1.7,141,75,2.05,12.35,2.5
2021-01-01 06:37:46,2.0,1.6,141,142,7.0,18.3,2.5
2021-01-01 06:34:37,1.0,4.08,18,254,0.0,15.8,0.0
2021-01-01 06:07:26,1.0,4.23,186,261,3.66,21.96,2.5
2021-01-01 06:26:23,4.0,16.07,261,138,0.0,53.92,2.5
2021-01-01 06:59:14,1.0,2.98,141,68,1.0,14.3,2.5
2021-01-01 06:48:51,4.0,5.19,181,165,3.76,22.56,0.0
2021-01-01 06:09:33,1.0,3.5,166,237,3.0,18.8,2.5
2021-01-01 06:25:55,1.0,1.1,163,143,0.0,9.3,2.5
2021-01-01 06:35:27,1.0,1.1,143,238,1.65,9.95,2.5
2021-01-01 06:44:51,1.0,1.2,238,75,0.0,7.3,0.0
2021-01-01 06:03:20,1.0,6.33,239,159,2.0,26.3,2.5
2021-01-01 06:27:50,2.0,1.87,68,107,2.36,14.16,2.5
2021-01-01 06:38:13,1.0,2.11,107,162,2.03,13.33,2.5
2021-01-01 06:52:16,2.0,7.49,229,231,4.37,28.67,2.5
2021-01-01 06:34:25,1.0,2.16,186,237,0.0,11.3,2.5
2021-01-01 06:53:53,1.0,1.63,262,140,2.58,12.88,2.5
2021-01-01 06:39:04,2.0,1.53,100,162,2.06,12.36,2.5
2021-01-01 06:49:19,1.0,1.56,237,262,2.94,12.74,2.5
2021-01-01 06:22:31,5.0,6.44,152,158,0.0,22.8,2.5
2021-01-01 06:33:44,1.0,11.7,107,242,2.0,39.3,2.5
2021-01-01 06:58:40,1.0,1.1,263,43,1.75,10.55,2.5
2021-01-01 06:26:48,1.0,8.2,132,86,0.0,25.3,0.0
2021-01-01 06:43:02,1.0,9.9,132,77,0.0,29.3,0.0
2021-01-01 06:48:31,1.0,2.8,148,87,2.75,16.55,2.5
2021-01-01 06:08:06,1.0,1.15,263,140,1.96,11.76,2.5
2021-01-01 06:23:24,1.0,2.41,140,233,1.84,14.14,2.5
2021-01-01 06:39:33,1.0,1.1,162,236,0.0,8.3,2.5
2021-01-01 06:53:08,1.0,8.45,140,37,5.86,35.16,2.5
2021-01-01 06:15:07,1.0,6.8,151,243,0.0,20.8,0.0
2021-01-01 06:32:16,1.0,0.5,243,243,0.0,5.3,0.0
2021-01-01 06:43:03,1.0,3.0,244,168,0.0,12.8,0.0
2021-01-01 06:07:06,1.0,3.31,263,164,2.86,17.16,2.5
2021-01-01 06:36:27,1.0,4.6,263,7,0.0,17.3,2.5
