tpep_pickup_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,tip_amount,total_amount,congestion_surcharge
2021-03-06 09:00:04,1.0,1.38,262,237,2.16,12.96,2.5
2021-03-06 09:10:20,1.0,7.11,41,68,5.76,34.56,2.5
2021-03-06 09:00:06,2.0,0.91,137,162,0.0,7.8,2.5
2021-03-06 09:01:02,1.0,0.41,24,151,0.0,4.8,0.0
2021-03-06 09:00:12,5.0,2.67,151,74,2.82,14.12,0.0
2021-03-06 09:26:05,1.0,1.3,68,48,0.0,11.3,2.5
2021-03-06 09:53:37,1.0,0.4,239,239,1.25,7.55,2.5
2021-03-06 09:41:57,1.0,0.6,141,237,0.0,8.3,2.5
2021-03-06 09:12:07,1.0,4.55,146,238,0.0,18.8,2.5
2021-03-06 09:30:40,1.0,0.59,238,238,1.56,9.36,2.5
2021-03-06 09:50:22,1.0,2.2,142,68,2.55,15.35,2.5
2021-03-06 09:20:51,1.0,1.8,48,239,2.8,14.1,2.5
2021-03-06 09:41:53,1.0,0.8,239,143,1.85,11.15,2.5
2021-03-06 09:14:10,1.0,1.54,237,237,2.82,14.12,2.5
2021-03-06 09:54:53,1.0,1.1,234,114,0.0,9.3,2.5
2021-03-06 09:26:17,1.0,0.36,186,48,1.36,8.16,2.5
2021-03-06 09:31:57,1.0,2.03,48,249,2.46,14.76,2.5
2021-03-06 09:46:24,1.0,2.26,211,137,0.0,12.3,2.5
2021-03-06 09:17:19,1.0,0.6,263,263,1.46,8.76,2.5
2021-03-06 09:35:07,1.0,2.8,137,263,2.75,16.55,2.5
2021-03-06 09:52:17,1.0,4.4,262,194,4.85,29.27,2.5
2021-03-06 09:33:19,1.0,0.97,100,170,0.0,9.3,2.5
2021-03-06 09:46:00,1.0,1.46,170,163,2.16,12.96,2.5
2021-03-06 09:38:30,6.0,1.55,230,237,2.58,12.88,2.5
2021-03-06 09:07:18,1.0,8.97,24,138,4.19,39.11,0.0
2021-03-06 09:46:24,1.0,9.7,138,239,3.84,42.26,2.5
2021-03-06 09:30:19,1.0,1.98,211,234,1.7,13.0,2.5
2021-03-06 09:41:05,1.0,0.76,164,170,0.0,8.3,2.5
2021-03-06 09:59:05,1.0,0.77,170,186,0.0,8.8,2.5
2021-03-06 09:49:56,1.0,1.14,166,74,1.89,8.19,0.0
